Genomic bins	SERC_517_10	SERC_517_11	SERC_517_12	SERC_517_13	SERC_517_8	SERC_517_9	SERC_517_6	SERC_517_7	SERC_517_4	SERC_517_5	SERC_517_3	SERC_Zymo_Pos_Control
bin.128	0.454918648802	0.375572413682	0.942694781287	0.705489451223	0.871111862797	0.884607427059	0.319636720124	0.750969641611	1.05025324368	0.286723388371	1.73257989377	0.0150427593298
bin.203	1.13130811912	0.365941250141	0.65956886668	0.519942888556	0.587843562717	0.618784263617	0.470382492737	0.823574172474	0.62389218457	0.374931461936	0.797728765936	0.00275263038098
bin.14	3.5700332802	96.9109373012	0.988119551748	3.10617781057	33.3240758365	4.46795903073	59.0495110076	12.7720700122	16.5349333584	181.70452144	8.15087044237	1.44221777221
bin.191	0.819004647899	0.900341706743	2.33829482403	0.682964964194	0.608558557204	1.18843451133	1.27281756483	2.71089388859	1.29192667572	0.462587283423	0.661054256083	0.106948376792
bin.7	0.00659451523187	0.00817472158739	0.00503856974982	0.00508166038921	0.00513401727443	0.00863592596512	0.101598183418	0.00301675847431	0.00263559869126	0.0052882977574	0.0040092419036	856.601647421
bin.149	0.539917820692	0.0591892733238	0.114069434314	0.586231903248	0.357942066998	0.193480175465	0.084299756863	0.108538556001	1.33575813952	0.107092552204	1.683684365	0.030775770176
bin.216	0.741691309291	0.218083460779	0.833655227275	0.941046785411	0.662542052876	0.816982090853	0.101759865048	0.5010336911	1.25334861992	0.101363746099	1.32037958933	0.00342116156556
bin.44	1.13975568358	0.516357143134	0.936372734712	1.17402661247	0.890138161695	1.15864902687	0.743063591352	0.816959569409	0.731522281206	0.339120518905	0.852754638766	0.0
bin.294	1.07776102333	0.367541863199	1.53379076979	1.45188083674	1.69842825908	1.93605599992	0.244773871008	1.09586779804	1.84049793822	0.291483062081	1.82462399055	0.00367932616687
bin.97	0.146119209272	0.274707099881	0.0797462981141	0.212600088438	0.29599724858	0.0769687892067	0.214227094065	0.0872871282481	6.68367259831	4.63194554051	1.09461367819	0.0107055492924
bin.275	1.15374837564	0.0431519417589	2.11266439673	2.22993982623	8.23465728485	4.33323908117	0.0640511179174	0.86819142628	1.09388783237	0.351920880688	0.486555262065	0.0117061278156
